creative_id,platform,hook_type,hook_text,body_type,cta,status,spend,imp,ctr,cpc,cv,cpa,verdict,note
RM-DEMO-TT-03,TikTok,実演,実際にやってみた。◯◯秒で一括査定が終わった,実演,チャットで一括査定をやってみる,draft,,,,,,,,要実測（所要時間未計測、docs/00_assumptions.md #20）
RM-COMP-META-01,Meta,比較,1社だけの査定と一括査定、査定額を比較してみた,比較,複数社の査定額を比較してみる,live,24000,200000,0.01,12.0,3,8000.0,decrease,"CPA(8,000円)が目標CPAを超過（損益分岐は下回る）。減額して様子見"
RM-COMP-META-02,Meta,比較,仲介・買取・リースバック、あなたの家に合うのはどれ？,比較,複数社の査定額を比較してみる,draft,,,,,,,,
RM-COMP-META-03,Meta,比較,不動産屋に直接相談するのと一括査定、かかる時間を比較してみた,比較,複数社の査定額を比較してみる,draft,,,,,,,,
RM-COMP-TT-01,TikTok,比較,1社だけの査定と一括査定、査定額を比較してみた,比較,複数社の査定額を比較してみる,draft,,,,,,,,
RM-COMP-TT-02,TikTok,比較,仲介・買取・リースバック、あなたの家に合うのはどれ？,比較,複数社の査定額を比較してみる,draft,,,,,,,,
RM-COMP-TT-03,TikTok,比較,不動産屋に直接相談するのと一括査定、かかる時間を比較してみた,比較,複数社の査定額を比較してみる,draft,,,,,,,,
RM-STORY-META-01,Meta,ストーリー,親が亡くなって、実家をどうするか3ヶ月悩んだ話,ストーリー,まずは無料査定から相談する,stopped,30000,150000,0.01,20.0,2,15000.0,stop,"CPA(15,000円)が損益分岐(9,800円)を超過"
RM-STORY-META-02,Meta,ストーリー,離婚を機に家を手放すことになった私の体験談,ストーリー,まずは無料査定から相談する,draft,,,,,,,,
RM-STORY-META-03,Meta,ストーリー,子供が独立して、夫婦2人には広すぎる家をどうするか考えた話,ストーリー,まずは無料査定から相談する,draft,,,,,,,,
RM-STORY-TT-01,TikTok,ストーリー,親が亡くなって、実家をどうするか3ヶ月悩んだ話,ストーリー,まずは無料査定から相談する,draft,,,,,,,,
RM-STORY-TT-02,TikTok,ストーリー,離婚を機に家を手放すことになった私の体験談,ストーリー,まずは無料査定から相談する,live,8000,90000,0.005,17.78,0,,continue,CV0だが消化額はまだ閾値未満。様子見
RM-STORY-TT-03,TikTok,ストーリー,子供が独立して、夫婦2人には広すぎる家をどうするか考えた話,ストーリー,まずは無料査定から相談する,draft,,,,,,,,
RM-AUTH-META-01,Meta,権威,"全国1,700社が提携。あなたの家に合う会社が見つかりやすくなる",権威,"1,700社から自分に合う会社を探す",stopped,15000,120000,0.01,12.5,0,,stop,"CV0のまま許容CPAの2倍(12,000円)を消化。撤退基準に該当"
RM-AUTH-META-02,Meta,権威,"2,600事業所が査定に対応。ひとりで悩まず、比較してから決められる",権威,"1,700社から自分に合う会社を探す",draft,,,,,,,,
RM-AUTH-META-03,Meta,権威,"不動産会社1社に相談するのと、1,700社から選べるのとでは選択肢が違う",権威,"1,700社から自分に合う会社を探す",draft,,,,,,,,
RM-AUTH-TT-01,TikTok,権威,"全国1,700社が提携。あなたの家に合う会社が見つかりやすくなる",権威,"1,700社から自分に合う会社を探す",draft,,,,,,,,
RM-AUTH-TT-02,TikTok,権威,"2,600事業所が査定に対応。ひとりで悩まず、比較してから決められる",権威,"1,700社から自分に合う会社を探す",draft,,,,,,,,
RM-AUTH-TT-03,TikTok,権威,"不動産会社1社に相談するのと、1,700社から選べるのとでは選択肢が違う",権威,"1,700社から自分に合う会社を探す",draft,,,,,,,,
